2025-02-25 10:14:24 [AWT-EventQueue-0] INFO  c.n.s.ui.JComponents.JLIstUser - User Selected: User(id=null, password=null, username=Yospeh, isEnable=true, permissions=null)
2025-02-25 10:14:25 [AWT-EventQueue-0] INFO  c.n.s.ui.JComponents.JLIstUser - User Selected: User(id=null, password=null, username=Yospeh, isEnable=true, permissions=null)
2025-02-25 10:14:25 [AWT-EventQueue-0] INFO  c.n.s.ui.JComponents.JLIstUser - User Selected: User(id=null, password=null, username=Yospeh, isEnable=true, permissions=null)
2025-02-25 10:14:27 [AWT-EventQueue-0] INFO  c.n.s.ui.JComponents.JLIstUser - User Selected: User(id=null, password=null, username=Yospeh, isEnable=true, permissions=null)
2025-02-25 10:14:28 [AWT-EventQueue-0] INFO  c.n.s.ui.JComponents.JLIstUser - User Selected: User(id=null, password=null, username=null, isEnable=false, permissions=null)
2025-02-25 10:14:28 [AWT-EventQueue-0] INFO  c.n.s.ui.JComponents.JLIstUser - User Selected: User(id=null, password=null, username=null, isEnable=false, permissions=null)
2025-02-25 10:14:29 [AWT-EventQueue-0] INFO  c.n.s.ui.JComponents.JLIstUser - User Selected: User(id=null, password=null, username=null, isEnable=false, permissions=null)
2025-02-25 10:14:31 [AWT-EventQueue-0] INFO  c.n.s.ui.JComponents.JLIstUser - User Selected: User(id=null, password=null, username=Yospeh, isEnable=true, permissions=null)
2025-02-25 10:14:52 [AWT-EventQueue-0] INFO  c.n.s.ui.JComponents.JLIstUser - User Selected: User(id=null, password=null, username=Yospeh, isEnable=true, permissions=null)
2025-02-25 10:14:52 [AWT-EventQueue-0] INFO  c.n.s.ui.JComponents.JLIstUser - User Selected: User(id=null, password=null, username=null, isEnable=false, permissions=null)
2025-02-25 10:14:54 [AWT-EventQueue-0] INFO  c.n.s.ui.JComponents.JLIstUser - User Selected: User(id=null, password=null, username=null, isEnable=false, permissions=null)
2025-02-25 10:14:59 [AWT-EventQueue-0] INFO  c.n.s.ui.JComponents.JLIstUser - User Selected: User(id=null, password=null, username=null, isEnable=false, permissions=null)
2025-02-25 10:15:00 [AWT-EventQueue-0] INFO  c.n.s.ui.JComponents.JLIstUser - User Selected: User(id=null, password=null, username=Yospeh, isEnable=true, permissions=null)
2025-02-25 10:15:00 [AWT-EventQueue-0] INFO  c.n.s.ui.JComponents.JLIstUser - User Selected: User(id=null, password=null, username=Yospeh, isEnable=true, permissions=null)
2025-02-25 10:15:01 [AWT-EventQueue-0] INFO  c.n.s.ui.JComponents.JLIstUser - User Selected: User(id=null, password=null, username=Yospeh, isEnable=true, permissions=null)
